user_id,recomendations
1,"[874972, 1132231, 1045285, 940947, 1062002]"
2,"[874972, 960791, 7167853, 947798, 1053690]"
3,"[874972, 908531, 1130858, 13842214, 1133018]"
6,"[948650, 1016276, 1137688, 1119051, 986912]"
7,"[14106445, 1050524, 856345, 5591154, 1079023]"
8,"[874972, 850058, 848071, 909714, 1062002]"
9,"[874972, 918046, 995242, 883404, 1082185]"
10,"[874972, 986912, 1043766, 1106523, 1082185]"
13,"[1075214, 6464165, 12427353, 1038985, 8090521]"
14,"[1025611, 912681, 921836, 5569471, 959985]"
15,"[874972, 1098844, 1127179, 1070820, 901666]"
16,"[874972, 12263788, 1082185, 1029743, 995242]"
18,"[878715, 904813, 1048563, 9677886, 1053628]"
19,"[874972, 893501, 840227, 1070015, 962229]"
20,"[874972, 892264, 897954, 1075368, 1126899]"
21,"[874972, 947798, 1058997, 6979579, 950098]"
22,"[1048257, 881047, 859427, 944836, 1070820]"
23,"[1034176, 12648296, 1082185, 1029743, 995242]"
24,"[844462, 914318, 1101174, 1036501, 903230]"
25,"[874972, 10204822, 1074524, 929018, 12427353]"
26,"[871061, 1081189, 834158, 1070015, 985119]"
27,"[874972, 918733, 7409957, 959409, 1082185]"
28,"[948670, 1119051, 921836, 943233, 878996]"
29,"[874972, 1082185, 1029743, 995242, 1106523]"
30,"[874972, 995242, 1082185, 1029743, 995242]"
31,"[860248, 1082990, 6034857, 1126899, 898847]"
32,"[874972, 10285141, 1058997, 992986, 1009449]"
33,"[836445, 1106301, 5981267, 1077048, 8357613]"
34,"[874972, 1101010, 952317, 999971, 1044805]"
35,"[874972, 1053690, 1082185, 1029743, 995242]"
36,"[871061, 997988, 891752, 962229, 1067779]"
37,"[874972, 904813, 8119303, 1067695, 1122358]"
39,"[8090440, 12782182, 8276172, 1127716, 6602697]"
40,"[874972, 991435, 5568228, 1056651, 1083043]"
41,"[874972, 845307, 1082185, 865705, 1044805]"
42,"[874972, 965766, 1029743, 1031087, 923746]"
43,"[874972, 873178, 1095068, 1082185, 1029743]"
46,"[1108094, 981660, 902856, 8090532, 999104]"
47,"[9677366, 1040935, 1126252, 9487606, 1082185]"
